


















8;54,33327







6;70,66662















































1;174,6663













































1;278,9991























6;338,6676































































8;481,0053













8;519,6724





















































































































































5;845,6525





































































8;996,6433

1;1008,643











9;1051,312





8;1070,981

6;1085,316

6;1102,318







1;1129,988















1;1195,329











6;1231

8;1244,669















































1;1377,018

















1;1417,356



1;1432,358



























































































































































































2;2012,429

















5;2086,424

5;2093,089































































1;2326,365





8;2359,69



2;2375,353

















1;2446,003













































































8;2707,939





1;2762,925

8;2781,587

8;2789,252





8;2824,91







8;2865,567

















1;2928,552









































